"pid","did","lptime","pborough","cnt"
43,239,12,"""Manhattan""",75
43,239,13,"""Manhattan""",82
43,239,14,"""Manhattan""",122
43,239,15,"""Manhattan""",100
43,239,16,"""Manhattan""",120
43,239,17,"""Manhattan""",83
43,239,18,"""Manhattan""",67
43,239,19,"""Manhattan""",44
43,239,20,"""Manhattan""",38
43,239,21,"""Manhattan""",31
43,239,22,"""Manhattan""",23
43,239,23,"""Manhattan""",11
43,246,12,"""Manhattan""",17
43,246,13,"""Manhattan""",14
43,246,14,"""Manhattan""",21
43,246,15,"""Manhattan""",20
43,246,16,"""Manhattan""",22
43,249,13,"""Manhattan""",11
43,249,14,"""Manhattan""",13
43,249,15,"""Manhattan""",12
43,249,16,"""Manhattan""",13
43,249,18,"""Manhattan""",13
43,262,7,"""Manhattan""",11
43,262,9,"""Manhattan""",18
43,262,10,"""Manhattan""",17
43,262,11,"""Manhattan""",17
43,262,12,"""Manhattan""",25
43,262,13,"""Manhattan""",21
43,262,14,"""Manhattan""",23
43,262,15,"""Manhattan""",30
43,262,16,"""Manhattan""",34
43,262,17,"""Manhattan""",30
43,262,18,"""Manhattan""",15
43,262,19,"""Manhattan""",22
43,262,21,"""Manhattan""",12
43,263,8,"""Manhattan""",13
43,263,9,"""Manhattan""",19
43,263,10,"""Manhattan""",35
43,263,11,"""Manhattan""",32
43,263,12,"""Manhattan""",27
43,263,13,"""Manhattan""",30
43,263,14,"""Manhattan""",33
43,263,15,"""Manhattan""",36
43,263,16,"""Manhattan""",39
43,263,17,"""Manhattan""",45
43,263,18,"""Manhattan""",30
43,263,19,"""Manhattan""",18
43,263,20,"""Manhattan""",15
43,263,21,"""Manhattan""",13
43,263,22,"""Manhattan""",11
48,1,14,"""Manhattan""",20
48,1,15,"""Manhattan""",22
48,1,16,"""Manhattan""",13
48,1,17,"""Manhattan""",11
48,4,21,"""Manhattan""",12
48,7,0,"""Manhattan""",18
48,7,1,"""Manhattan""",14
48,7,3,"""Manhattan""",16
48,7,23,"""Manhattan""",18
48,13,8,"""Manhattan""",22
48,13,9,"""Manhattan""",21
48,13,10,"""Manhattan""",25
48,13,11,"""Manhattan""",19
48,13,12,"""Manhattan""",11
48,13,13,"""Manhattan""",13
48,13,14,"""Manhattan""",11
48,13,21,"""Manhattan""",17
48,13,22,"""Manhattan""",12
48,24,19,"""Manhattan""",11
48,24,21,"""Manhattan""",11
48,24,22,"""Manhattan""",14
48,24,23,"""Manhattan""",14
48,41,0,"""Manhattan""",18
48,41,1,"""Manhattan""",19
48,41,2,"""Manhattan""",20
48,41,3,"""Manhattan""",16
48,41,4,"""Manhattan""",11
48,41,15,"""Manhattan""",11
48,41,16,"""Manhattan""",16
48,41,17,"""Manhattan""",18
48,41,18,"""Manhattan""",11
48,41,19,"""Manhattan""",11
48,41,20,"""Manhattan""",19
48,41,21,"""Manhattan""",20
48,41,22,"""Manhattan""",33
48,41,23,"""Manhattan""",31
48,42,0,"""Manhattan""",20
48,42,1,"""Manhattan""",19
48,42,2,"""Manhattan""",13
48,42,3,"""Manhattan""",14
48,42,4,"""Manhattan""",16
48,42,21,"""Manhattan""",23
48,42,22,"""Manhattan""",24
48,42,23,"""Manhattan""",15
48,43,6,"""Manhattan""",11
48,43,7,"""Manhattan""",23
48,43,8,"""Manhattan""",16
48,43,9,"""Manhattan""",49
48,43,10,"""Manhattan""",55
48,43,11,"""Manhattan""",30
48,43,12,"""Manhattan""",43
48,43,13,"""Manhattan""",23
48,43,14,"""Manhattan""",35
48,43,15,"""Manhattan""",30
48,43,16,"""Manhattan""",14
48,43,17,"""Manhattan""",11
48,43,18,"""Manhattan""",23
48,43,19,"""Manhattan""",12
48,43,21,"""Manhattan""",21
48,43,22,"""Manhattan""",16
48,48,0,"""Manhattan""",87
48,48,1,"""Manhattan""",75
48,48,2,"""Manhattan""",77
48,48,3,"""Manhattan""",54
48,48,4,"""Manhattan""",42
48,48,5,"""Manhattan""",24
48,48,6,"""Manhattan""",36
48,48,7,"""Manhattan""",69
48,48,8,"""Manhattan""",72
48,48,9,"""Manhattan""",88
48,48,10,"""Manhattan""",87
48,48,11,"""Manhattan""",68
48,48,12,"""Manhattan""",92
48,48,13,"""Manhattan""",78
48,48,14,"""Manhattan""",111
48,48,15,"""Manhattan""",113
48,48,16,"""Manhattan""",107
48,48,17,"""Manhattan""",129
48,48,18,"""Manhattan""",156
48,48,19,"""Manhattan""",138
48,48,20,"""Manhattan""",77
48,48,21,"""Manhattan""",102
48,48,22,"""Manhattan""",122
48,48,23,"""Manhattan""",90
48,50,0,"""Manhattan""",52
48,50,1,"""Manhattan""",39
48,50,2,"""Manhattan""",42
48,50,3,"""Manhattan""",25
